,Year,AverageTemperature,AverageTemperatureUncertainty,ISO
22739,1911,26.194,0.5783333333333333,ASM
22740,1911,11.456916666666666,0.447,AND
22741,1911,21.224333333333334,0.7745000000000001,AGO
22742,1911,26.305333333333333,0.5134166666666666,AIA
22743,1911,26.131,0.46925,ATG
22744,1911,13.886333333333333,0.467,ARG
22745,1911,6.994583333333334,0.6175833333333333,ARM
22746,1911,27.5805,0.5089166666666667,ABW
22748,1911,21.347916666666666,0.3199166666666667,AUS
22749,1911,6.732333333333333,0.35474999999999995,AUT
22750,1911,9.4855,0.55875,AZE
22751,1911,25.168666666666667,0.51975,BHS
22752,1911,24.717083333333335,0.6738333333333334,BHR
22753,1911,25.123833333333334,0.46858333333333335,BK
22754,1911,24.503500000000003,0.3953333333333333,BGD
22755,1911,26.136166666666668,0.5025000000000001,BRB
22756,1911,5.6739999999999995,0.41591666666666666,BLR
22757,1911,10.255416666666667,0.34708333333333335,BEL
22758,1911,25.014,0.7756666666666666,BLZ
22759,1911,26.26575,0.8313333333333333,BEN
22760,1911,11.433916666666667,0.49466666666666664,BTN
22761,1911,20.394416666666668,0.7766666666666667,BOL
22762,1911,26.81216666666667,0.42191666666666666,BES
22763,1911,10.515666666666666,0.4753333333333334,BIH
22764,1911,21.390666666666664,0.77025,BWA
22765,1911,24.289083333333334,0.4414166666666666,BRA
22766,1911,26.051666666666666,0.46950000000000003,VGB
22767,1911,10.329083333333333,0.51525,BGR
22768,1911,27.24175,0.9348333333333333,BFA
22769,1911,23.404416666666666,0.37483333333333335,MMR
22770,1911,20.106916666666667,0.9699166666666666,BDI
22771,1911,26.65391666666667,0.48724999999999996,KHM
22772,1911,23.71466666666667,0.6020833333333333,CMR
22773,1911,-5.536833333333334,0.8635,CAN
22774,1911,23.674083333333332,0.5299166666666667,CPV
22775,1911,26.741249999999997,0.49433333333333335,CYM
22776,1911,24.69633333333333,0.9038333333333334,CAF
22777,1911,26.51125,0.87475,TCD
22778,1911,9.115499999999999,0.48333333333333334,CHL
22779,1911,6.297000000000001,0.5651666666666667,CHN
22780,1911,25.377916666666668,0.7305833333333333,CXR
22781,1911,24.39891666666667,0.5635,COL
22782,1911,25.0645,0.5125000000000001,COM
22783,1911,23.831500000000002,0.6789999999999999,COG
22785,1911,25.48875,0.8525833333333334,CRI
22786,1911,11.573916666666667,0.39925000000000005,HRV
22787,1911,25.40433333333333,0.47808333333333336,CUB
22788,1911,26.987333333333336,0.47383333333333333,CUW
22789,1911,17.9315,0.5535833333333334,CYP
22790,1911,8.353333333333333,0.3509166666666667,CZE
22791,1911,25.249916666666667,0.8726666666666666,CIV
22792,1911,-4.921875,1.0005,DNK
22793,1911,28.744250000000005,0.9169999999999999,DJI
22794,1911,25.793666666666667,0.47741666666666666,DMA
22795,1911,25.3195,0.44166666666666665,DOM
22796,1911,21.438000000000002,0.6631666666666667,ECU
22797,1911,22.184,0.5549166666666666,EGY
22798,1911,24.985333333333333,0.89175,SLV
22799,1911,24.168583333333334,0.6789999999999999,GNQ
22800,1911,26.25125,1.0090000000000001,ERI
22801,1911,5.09225,0.42491666666666666,EST
22802,1911,22.909916666666664,0.8180833333333334,ETH
22805,1911,6.838666666666666,0.5486666666666666,FRO
22806,1911,26.531000000000002,0.723,FSM
22807,1911,24.790916666666664,0.7585000000000001,FJI
22808,1911,1.7622499999999999,0.4110833333333333,FIN
22809,1911,12.052541666666668,0.4658333333333333,FRA
22810,1911,25.260583333333333,0.48408333333333337,GUF
22811,1911,25.702416666666668,0.738,PYF
22812,1911,23.521583333333336,0.6496666666666666,GAB
22813,1911,27.171666666666667,0.6458333333333334,GMB
22815,1911,6.58475,0.7225,GEO
22816,1911,9.026,0.3115,DEU
22817,1911,25.861583333333332,0.8555,GHA
22818,1911,14.43425,0.5646666666666667,GRC
22819,1911,-19.191416666666665,1.7174166666666668,GRL
22820,1911,26.4285,0.518,GRD
22821,1911,26.020416666666666,0.46075,GLP
22822,1911,26.596166666666665,0.7518333333333334,GUM
22823,1911,23.101166666666668,0.7752500000000001,GTM
22824,1911,11.522333333333334,0.46075,GGY
22825,1911,24.970333333333333,0.6529999999999999,GIN
22826,1911,26.367,0.6281666666666667,GNB
22827,1911,25.563166666666664,0.444,GUY
22828,1911,26.083333333333332,0.5185000000000001,HTI
22829,1911,24.725083333333334,0.75825,HND
22830,1911,22.460166666666666,0.4885833333333333,HKG
22831,1911,10.122916666666667,0.39408333333333334,HUN
22832,1911,1.633333333333333,0.6550833333333334,ISL
22833,1911,23.869333333333334,0.33874999999999994,IND
22834,1911,25.35966666666667,0.46075,IDN
22835,1911,16.20358333333333,0.5985833333333334,IRN
22836,1911,20.295666666666666,0.5809166666666666,IRQ
22837,1911,9.72125,0.5535,IRL
22838,1911,9.903916666666667,0.4101666666666666,IMN
22839,1911,18.85225,0.48416666666666663,ISR
22840,1911,12.903833333333333,0.41450000000000004,ITA
22841,1911,26.070000000000004,0.5908333333333333,JAM
22842,1911,11.980083333333333,0.2856666666666667,JPN
22843,1911,11.522333333333334,0.46075,JEY
22844,1911,18.511916666666668,0.5140833333333333,JOR
22845,1911,4.711166666666667,0.665,KAZ
22846,1911,23.82875,0.7425833333333333,KEN
22847,1911,26.673833333333334,0.5930833333333333,KR
22848,1911,26.33,0.5790000000000001,KIR
22849,1911,23.69583333333333,0.7489166666666667,KWT
22850,1911,3.2474166666666675,1.3983333333333334,KGZ
22851,1911,23.769833333333334,0.39725000000000005,LAO
22852,1911,5.5923333333333325,0.414,LVA
22853,1911,16.59975,0.6306666666666667,LBN
22854,1911,13.185416666666667,0.6306666666666667,LSO
22855,1911,24.83983333333333,0.8093333333333333,LBR
22856,1911,21.88925,0.8365833333333333,LBY
22857,1911,5.220833333333333,0.44658333333333333,LIE
22858,1911,6.319500000000001,0.36274999999999996,LTU
22859,1911,9.905916666666666,0.35883333333333334,LUX
22860,1911,22.258083333333335,0.49899999999999994,MO
22861,1911,10.262,0.4735833333333333,MKD
22862,1911,22.173416666666668,0.5550833333333333,MDG
22863,1911,20.772000000000002,0.7039166666666667,MWI
22864,1911,25.578666666666667,0.3720833333333333,MYS
22865,1911,27.79825,0.90475,MLI
22866,1911,18.547666666666668,0.5776666666666667,MLT
22867,1911,25.793666666666667,0.47741666666666666,MTQ
22868,1911,27.087083333333336,0.8036666666666666,MRT
22869,1911,23.095250000000004,0.7655,MUS
22870,1911,25.694666666666667,0.5245833333333333,MYT
22871,1911,20.621416666666665,0.5286666666666666,MEX
22872,1911,8.438416666666667,0.49783333333333335,MDA
22873,1911,9.448500000000001,0.47150000000000003,MCO
22874,1911,-0.7847499999999998,1.2579166666666668,MNG
22875,1911,10.190083333333332,0.45683333333333337,MNE
22876,1911,26.07575,0.46141666666666664,MSR
22877,1911,17.197666666666667,0.8079999999999999,MAR
22878,1911,22.959166666666665,0.6389166666666667,MOZ
22879,1911,20.065166666666666,1.0630833333333334,NAM
22880,1911,14.634166666666667,0.6019166666666667,NPL
22881,1911,10.129041666666668,0.3453333333333333,NLD
22882,1911,22.571416666666668,0.7640833333333333,NCL
22883,1911,10.257083333333334,0.6511666666666667,NZL
22884,1911,25.953833333333336,0.8106666666666666,NIC
22885,1911,26.807916666666667,0.8854166666666666,NER
22886,1911,26.071749999999998,0.5795833333333333,NGA
